age,hours-per-week,income
25,40,0
38,50,0
28,40,1
44,40,1
18,30,0
34,30,0
29,40,0
63,32,1
24,40,0
55,10,0
65,40,1
36,40,0
26,39,0
58,35,0
48,48,1
43,50,1
20,25,0
43,30,0
37,20,0
40,45,1
34,47,1
34,35,0
72,6,0
25,43,0
25,40,0
45,90,1
22,20,0
23,54,0
54,35,0
32,60,0
46,38,1
56,50,0
24,50,0
23,40,0
26,40,0
65,40,0
36,40,1
22,50,0
17,40,0
20,40,0
65,50,1
44,45,1
36,40,0
29,40,0
20,32,0
28,36,1
39,40,0
54,50,0
52,18,0
56,50,0
18,20,0
39,40,0
21,24,0
22,60,1
38,54,0
21,40,0
63,40,0
34,50,1
42,50,1
33,40,0
30,50,0
39,40,0
26,40,0
33,40,0
47,40,0
41,40,0
41,60,1
19,20,0
46,40,0
43,48,0
55,45,1
46,40,0
30,40,0
21,40,0
46,40,0
17,40,0
41,50,0
69,30,0
50,40,0
20,40,0
45,50,0
23,40,0
24,40,0
44,50,1
31,50,0
43,44,0
20,10,0
55,56,1
24,40,0
41,10,1
59,25,0
49,20,0
33,10,1
59,40,0
34,40,0
20,40,0
25,40,0
49,40,0
59,40,1
20,40,0
51,18,0
33,35,0
22,39,0
58,40,0
52,28,0
36,40,0
41,40,0
28,40,0
19,16,0
18,28,0
18,48,0
28,40,0
29,40,1
20,20,0
40,40,0
26,40,0
46,40,0
23,24,0
44,40,0
43,40,1
31,60,0
18,25,0
19,30,0
41,40,0
41,40,0
69,25,0
48,40,1
28,40,0
27,60,1
41,50,1
41,40,0
24,40,0
20,40,0
42,41,1
57,48,0
30,40,0
36,60,1
49,40,0
33,35,0
23,40,0
46,40,0
18,22,0
40,55,1
43,45,1
34,30,0
47,30,0
44,30,0
33,40,1
55,50,1
19,30,0
28,14,0
27,32,0
50,20,0
22,40,0
40,45,1
25,40,0
26,40,0
22,25,0
42,40,0
38,40,0
55,30,0
32,40,0
22,45,0
29,40,0
46,45,1
31,40,1
58,16,1
42,45,0
18,25,0
58,33,0
54,40,1
34,40,0
26,40,0
61,60,0
48,40,0
36,45,1
24,45,0
40,37,0
33,50,1
37,40,1
34,40,0
56,40,1
28,38,1
37,55,0
44,40,0
64,8,0
54,45,0
23,50,0
34,40,0
22,45,0
33,40,1
39,50,1
47,37,0
79,40,0
26,55,0
31,40,0
44,45,0
42,50,1
19,40,0
27,40,1
51,40,1
28,50,0
57,45,0
45,40,0
50,40,1
34,54,0
45,40,0
73,20,0
34,50,1
31,55,1
19,12,0
25,50,0
38,40,0
39,40,0
23,32,0
49,40,0
33,32,0
21,38,0
31,40,0
23,45,0
34,40,0
25,40,0
39,40,0
52,40,1
63,40,1
41,40,0
46,38,1
53,40,0
25,40,0
77,35,0
18,40,0
38,50,0
55,50,0
34,40,1
80,30,0
34,60,0
52,40,0
42,28,0
26,40,0
31,40,0
25,35,0
55,60,0
19,12,0
62,32,0
22,20,0
39,50,0
35,40,0
28,40,0
47,70,1
44,40,0
21,15,0
35,50,0
24,40,1
42,40,0
28,50,0
21,35,0
62,40,0
39,40,0
30,40,0
72,20,0
50,50,0
28,40,0
29,40,0
26,40,0
